#Release 10.1.03 - par K.39 (lin64)
#Copyright (c) 1995-2008 Xilinx, Inc.  All rights reserved.

#Tue Nov 29 16:48:58 2011

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       labkit_map.ncd
#OUTPUT FILE:      labkit_pad.csv
#PART TYPE:        xc2v6000
#SPEED GRADE:      -4
#PACKAGE:          bf957
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
AG13,vga_out_blue<5>,IOB,IO_L68P_4,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AG14,vga_out_blue<6>,IOB,IO_L92N_4,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AG15,vga_out_blue<7>,IOB,IO_L92P_4,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AG16,keyboard_clock,IOB,IO_L94P_4,INPUT,LVTTL*,4,,,,NONE,,LOCATED,,NO,NONE,
AG17,tv_in_ycrcb<19>,IOB,IO_L93N_5,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,NO,NONE,
AG18,tv_in_ycrcb<18>,IOB,IO_L72N_5,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,NO,NONE,
AG19,tv_in_ycrcb<17>,IOB,IO_L72P_5,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,NO,NONE,
AG20,tv_in_ycrcb<16>,IOB,IO_L54N_5,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,NO,NONE,
AG21,led<2>,IOB,IO_L54P_5,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AG22,tv_in_fifo_clock,IOB,IO_L24N_5,OUTPUT,LVDCI_33,5,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AG23,tv_in_ycrcb<12>,IOB,IO_L24P_5,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,NO,NONE,
AG24,analyzer4_data<9>,IOB,IO_L02N_5/D6,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AG25,tv_in_reset_b,IOB,IO_L21P_5,OUTPUT,LVDCI_33,5,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AG26,,,M2,,,,,,,,,,,,,
AG27,,,GND,,,,,,,,,,,,,
AG28,ram0_data<33>,IOB,IO_L05P_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AG29,ram0_data<32>,IOB,IO_L05N_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AG30,ram0_data<23>,IOB,IO_L21P_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AG31,ram0_data<22>,IOB,IO_L06N_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AH1,ram1_data<33>,IOB,IO_L19P_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AH2,ram1_data<34>,IOB,IO_L01N_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AH3,ram1_data<25>,IOB,IO_L01P_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AH4,,,GND,,,,,,,,,,,,,
AH5,,,PWRDWN_B,,,,,,,,,,,,,
AH6,vga_out_green<4>,IOB,IO_L06N_4,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AH7,vga_out_green<6>,IOB,IO_L06P_4,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AH8,vga_out_green<7>,IOB,IO_L27N_4,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AH9,vga_out_blue<0>,IOB,IO_L27P_4/VREF_4,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AH10,,,GND,,,,,,,,,,,,,
AH11,vga_out_blue<2>,IOB,IO_L54N_4,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AH12,flash_data<9>,IOB,IO_L54P_4,INPUT,LVTTL*,4,,,,NONE,,LOCATED,,NO,NONE,
AH13,flash_data<8>,IOB,IO_L77N_4,INPUT,LVTTL*,4,,,,NONE,,LOCATED,,NO,NONE,
AH14,flash_address<0>,IOB,IO_L77P_4,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AH15,flash_byte_b,IOB,IO_L96N_4/GCLK1S,OUTPUT,LVDCI_33,4,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AH16,,,GND,,,,,,,,,,,,,
AH17,analyzer4_data<4>,IOB,IO_L96P_5/GCLK6P,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AH18,flash_address<3>,IOB,IO_L76N_5,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AH19,flash_address<4>,IOB,IO_L76P_5,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AH20,flash_address<6>,IOB,IO_L69N_5/VREF_5,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AH21,flash_address<8>,IOB,IO_L69P_5,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AH22,,,GND,,,,,,,,,,,,,
AH23,tv_in_hff,IOB,IO_L25N_5,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,NO,NONE,
AH24,ac97_bit_clock,IOB,IO_L25P_5,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,NO,NONE,
AH25,tv_in_data_valid,IOB,IO_L21N_5/VREF_5,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,NO,NONE,
AH26,tv_in_ycrcb<10>,IOB,IO_L04P_5/VREF_5,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,NO,NONE,
AH27,,,M0,,,,,,,,,,,,,
AH28,,,GND,,,,,,,,,,,,,
AH29,ram0_data<34>,IOB,IO_L03P_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AH30,ram0_data<25>,IOB,IO_L03N_6/VREF_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AH31,ram0_data<24>,IOB,IO_L06P_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AJ1,,,GND,,,,,,,,,,,,,
AJ2,,,VCCAUX,,,,,,,,3.3,,,,,
AJ3,,,GND,,,,,,,,,,,,,
AJ4,,,CCLK,,,,,,,,,,,,,
AJ5,analyzer4_data<13>,IOB,IO_L03P_4/D3/ALT_VRN_4,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AJ6,vga_out_green<5>,IOB,IO_L23N_4,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AJ7,,,VCCO_4,,,4,,,,,3.30,,,,,
AJ8,vga_out_blank_b,IOB,IO_L23P_4,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AJ9,vga_out_sync_b,IOB,IO_L30N_4,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AJ10,vga_out_blue<1>,IOB,IO_L30P_4,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AJ11,vga_out_blue<3>,IOB,IO_L71N_4,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AJ12,flash_data<1>,IOB,IO_L71P_4,INPUT,LVTTL*,4,,,,NONE,,LOCATED,,NO,NONE,
AJ13,flash_data<0>,IOB,IO_L78N_4,INPUT,LVTTL*,4,,,,NONE,,LOCATED,,NO,NONE,
AJ14,,,VCCO_4,,,4,,,,,3.30,,,,,
AJ15,flash_address<23>,IOB,IO_L96P_4/GCLK0P,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AJ16,clock_feedback_in,IOB,IO_L96N_5/GCLK7S,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,NO,NONE,
AJ17,flash_address<2>,IOB,IO_L91P_5/VREF_5,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AJ18,,,VCCO_5,,,5,,,,,3.30,,,,,
AJ19,flash_address<5>,IOB,IO_L73N_5,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AJ20,flash_address<7>,IOB,IO_L73P_5,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AJ21,flash_ce_b,IOB,IO_L52N_5,OUTPUT,LVDCI_33,5,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AJ22,tv_in_aff,IOB,IO_L52P_5,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,NO,NONE,
AJ23,tv_in_aef,IOB,IO_L30N_5,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,NO,NONE,
AJ24,ac97_sdata_in,IOB,IO_L30P_5,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,NO,NONE,
AJ25,,,VCCO_5,,,5,,,,,3.30,,,,,
AJ26,tv_in_ycrcb<11>,IOB,IO_L04N_5,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,NO,NONE,
AJ27,tv_in_iso,IOB,IO_L06P_5,OUTPUT,LVDCI_33,5,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AJ28,,,M1,,,,,,,,,,,,,
AJ29,,,GND,,,,,,,,,,,,,
AJ30,,,VCCAUX,,,,,,,,3.3,,,,,
AJ31,,,GND,,,,,,,,,,,,,
AK1,,,GND,,,,,,,,,,,,,
AK2,,,GND,,,,,,,,,,,,,
AK3,analyzer4_data<14>,IOB,IO_L03N_4/D2/ALT_VRP_4,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AK4,,DIFFS,IO_L05N_4/VRP_4,UNUSED,,4,,,TERMINATION,,,,,,,
AK5,,DIFFM,IO_L05P_4/VRN_4,UNUSED,,4,,,TERMINATION,,,,,,,
AK6,button_down,IOB,IO_L24N_4,INPUT,LVTTL*,4,,,,NONE,,LOCATED,,NO,NONE,
AK7,button_enter,IOB,IO_L24P_4,INPUT,LVTTL*,4,,,,NONE,,LOCATED,,NO,NONE,
AK8,,,GND,,,,,,,,,,,,,
AK9,flash_oe_b,IOB,IO_L53N_4,OUTPUT,LVDCI_33,4,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AK10,flash_data<15>,IOB,IO_L53P_4,INPUT,LVTTL*,4,,,,NONE,,LOCATED,,NO,NONE,
AK11,flash_data<14>,IOB,IO_L72N_4,INPUT,LVTTL*,4,,,,NONE,,LOCATED,,NO,NONE,
AK12,flash_data<13>,IOB,IO_L72P_4,INPUT,LVTTL*,4,,,,NONE,,LOCATED,,NO,NONE,
AK13,flash_data<12>,IOB,IO_L78P_4,INPUT,LVTTL*,4,,,,NONE,,LOCATED,,NO,NONE,
AK14,flash_data<11>,IOB,IO_L93N_4,INPUT,LVTTL*,4,,,,NONE,,LOCATED,,NO,NONE,
AK15,flash_data<10>,IOB,IO_L93P_4,INPUT,LVTTL*,4,,,,NONE,,LOCATED,,NO,NONE,
AK16,,,VCCAUX,,,,,,,,3.3,,,,,
AK17,flash_address<10>,IOB,IO_L91N_5,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AK18,flash_reset_b,IOB,IO_L78N_5,OUTPUT,LVDCI_33,5,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AK19,flash_address<13>,IOB,IO_L78P_5,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AK20,flash_address<15>,IOB,IO_L70N_5,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AK21,flash_address<17>,IOB,IO_L70P_5,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AK22,flash_address<19>,IOB,IO_L49N_5,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AK23,flash_address<21>,IOB,IO_L49P_5,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AK24,,,GND,,,,,,,,,,,,,
AK25,switch<2>,IOB,IO_L22N_5,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,NO,NONE,
AK26,switch<0>,IOB,IO_L22P_5,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,NO,NONE,
AK27,analyzer4_data<5>,IOB,IO_L06N_5,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AK28,analyzer4_data<11>,IOB,IO_L01N_5/RDWR_B,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AK29,analyzer4_data<12>,IOB,IO_L01P_5/CS_B,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AK30,,,GND,,,,,,,,,,,,,
AK31,,,GND,,,,,,,,,,,,,
AL2,,,GND,,,,,,,,,,,,,
AL3,,,GND,,,,,,,,,,,,,
AL4,button_up,IOB,IO_L21N_4,INPUT,LVTTL*,4,,,,NONE,,LOCATED,,NO,NONE,
AL5,button_left,IOB,IO_L21P_4/VREF_4,INPUT,LVTTL*,4,,,,NONE,,LOCATED,,NO,NONE,
AL6,button_right,IOB,IO_L29N_4,INPUT,LVTTL*,4,,,,NONE,,LOCATED,,NO,NONE,
AL7,,DIFFM,IO_L29P_4,UNUSED,,4,,,,,,,,,,
AL8,flash_we_b,IOB,IO_L51N_4,OUTPUT,LVDCI_33,4,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AL9,flash_sts,IOB,IO_L51P_4/VREF_4,INPUT,LVTTL*,4,,,PULLUP,NONE,,LOCATED,,NO,NONE,
AL10,flash_data<7>,IOB,IO_L69N_4,INPUT,LVTTL*,4,,,,NONE,,LOCATED,,NO,NONE,
AL11,flash_data<6>,IOB,IO_L69P_4/VREF_4,INPUT,LVTTL*,4,,,,NONE,,LOCATED,,NO,NONE,
AL12,flash_data<5>,IOB,IO_L75N_4,INPUT,LVTTL*,4,,,,NONE,,LOCATED,,NO,NONE,
AL13,flash_data<4>,IOB,IO_L75P_4/VREF_4,INPUT,LVTTL*,4,,,,NONE,,LOCATED,,NO,NONE,
AL14,flash_data<3>,IOB,IO_L95N_4/GCLK3S,INPUT,LVTTL*,4,,,,NONE,,LOCATED,,NO,NONE,
AL15,flash_data<2>,IOB,IO_L95P_4/GCLK2P,INPUT,LVTTL*,4,,,,NONE,,LOCATED,,NO,NONE,
AL16,,,GND,,,,,,,,,,,,,
AL17,flash_address<9>,IOB,IO_L94N_5,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AL18,flash_address<11>,IOB,IO_L94P_5/VREF_5,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AL19,flash_address<12>,IOB,IO_L75N_5/VREF_5,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AL20,flash_address<14>,IOB,IO_L75P_5,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AL21,flash_address<16>,IOB,IO_L67N_5,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AL22,flash_address<18>,IOB,IO_L67P_5,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AL23,flash_address<20>,IOB,IO_L28N_5,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AL24,,DIFFM,IO_L28P_5,UNUSED,,5,,,,,,,,,,
AL25,flash_address<22>,IOB,IO_L27N_5/VREF_5,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AL26,switch<1>,IOB,IO_L27P_5,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,NO,NONE,
AL27,analyzer4_data<6>,IOB,IO_L19N_5,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AL28,clock_feedback_out,IOB,IO_L19P_5,OUTPUT,LVDCI_33,5,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AL29,,,GND,,,,,,,,,,,,,
AL30,,,GND,,,,,,,,,,,,,
B1,,,GND,,,,,,,,,,,,,
B2,,,GND,,,,,,,,,,,,,
B3,user1<0>,IOB,IO_L01P_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
B4,,,NC,,,,,,,,,,,,,
B5,user1<2>,IOB,IO_L01N_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
B6,user1<3>,IOB,IO_L19N_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
B7,,DIFFM,IO_L49P_1,UNUSED,,1,,,,,,,,,,
B8,,,GND,,,,,,,,,,,,,
B9,user3<4>,IOB,IO_L49N_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
B10,user3<5>,IOB,IO_L67P_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
B11,user3<6>,IOB,IO_L67N_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
B12,user3<7>,IOB,IO_L71P_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
B13,,DIFFS,IO_L71N_1,UNUSED,,1,,,,,,,,,,
B14,user1<22>,IOB,IO_L91P_1/VREF_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
B15,user1<23>,IOB,IO_L91N_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
B16,,,VCCAUX,,,,,,,,3.3,,,,,
B17,,DIFFM,IO_L93P_0,UNUSED,,0,,,,,,,,,,
B18,user4<8>,IOB,IO_L93N_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
B19,user4<9>,IOB,IO_L73P_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
B20,user4<24>,IOB,IO_L73N_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
B21,user4<25>,IOB,IO_L54P_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
B22,user4<26>,IOB,IO_L54N_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
B23,user4<27>,IOB,IO_L30P_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
B24,,,GND,,,,,,,,,,,,,
B25,user2<29>,IOB,IO_L30N_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
B26,user2<30>,IOB,IO_L21P_0/VREF_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
B27,user2<31>,IOB,IO_L21N_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
B28,,,DXP,,,,,,,,,,,,,
B29,,DIFFS,IO_L03N_0/VRP_0,UNUSED,,0,,,,,,,,,,
B30,,,GND,,,,,,,,,,,,,
B31,,,GND,,,,,,,,,,,,,
C1,,,GND,,,,,,,,,,,,,
C2,,,VCCAUX,,,,,,,,3.3,,,,,
C3,,,GND,,,,,,,,,,,,,
C4,,,TDO,,,,,,,,,,,,,
C5,user1<1>,IOB,IO_L19P_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
C6,user1<9>,IOB,IO_L06N_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
C7,,,VCCO_1,,,1,,,,,3.30,,,,,
C8,user1<10>,IOB,IO_L25P_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
C9,user1<11>,IOB,IO_L25N_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
C10,user1<12>,IOB,IO_L50P_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
C11,user1<13>,IOB,IO_L50N_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
C12,user1<14>,IOB,IO_L70P_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
C13,user1<15>,IOB,IO_L70N_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
C14,,,VCCO_1,,,1,,,,,3.30,,,,,
C15,clock2,IOB,IO_L96P_1/GCLK2S,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
C16,clock_27mhz,IOB,IO_L96N_1/GCLK3P,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
C17,,DIFFM,IO_L78P_0,UNUSED,,0,,,,,,,,,,
C18,,,VCCO_0,,,0,,,,,3.30,,,,,
C19,user4<16>,IOB,IO_L78N_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
C20,user4<17>,IOB,IO_L72P_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
C21,user4<18>,IOB,IO_L72N_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
C22,user4<19>,IOB,IO_L49P_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
C23,user4<20>,IOB,IO_L49N_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
C24,user2<21>,IOB,IO_L23P_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
C25,,,VCCO_0,,,0,,,,,3.30,,,,,
C26,user4<22>,IOB,IO_L23N_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
C27,,DIFFM,IO_L03P_0/VRN_0,UNUSED,,0,,,,,,,,,,
C28,,,TDI,,,,,,,,,,,,,
C29,,,GND,,,,,,,,,,,,,
C30,,,VCCAUX,,,,,,,,3.3,,,,,
C31,,,GND,,,,,,,,,,,,,
D1,daughtercard<11>,IOB,IO_L21N_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
D2,daughtercard<12>,IOB,IO_L05N_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
D3,daughtercard<21>,IOB,IO_L03N_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
D4,,,GND,,,,,,,,,,,,,
D5,,,VBATT,,,,,,,,,,,,,
D6,user3<8>,IOB,IO_L06P_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
D7,user3<9>,IOB,IO_L04N_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
D8,user3<10>,IOB,IO_L27P_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
D9,user3<11>,IOB,IO_L27N_1/VREF_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
D10,,,GND,,,,,,,,,,,,,
D11,user3<12>,IOB,IO_L68P_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
D12,user3<13>,IOB,IO_L68N_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
D13,user3<14>,IOB,IO_L76P_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
D14,user3<15>,IOB,IO_L76N_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
D15,,DIFFS,IO_L78N_1,UNUSED,,1,,,,,,,,,,
D16,,,GND,,,,,,,,,,,,,
D17,,DIFFM,IO_L75P_0/VREF_0,UNUSED,,0,,,,,,,,,,
D18,user2<16>,IOB,IO_L77P_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
D19,user2<17>,IOB,IO_L77N_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
D20,user2<18>,IOB,IO_L67P_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
D21,user2<19>,IOB,IO_L67N_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
D22,,,GND,,,,,,,,,,,,,
D23,user2<20>,IOB,IO_L24P_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
D24,user4<21>,IOB,IO_L24N_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
D25,user2<22>,IOB,IO_L05P_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
D26,user2<23>,IOB,IO_L05N_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
D27,,,PROG_B,,,,,,,,,,,,,
D28,,,GND,,,,,,,,,,,,,
D29,systemace_irq,IOB,IO_L01N_7,INPUT,LVTTL*,7,,,,NONE,,LOCATED,,NO,NONE,
D30,,DIFFM,IO_L01P_7,UNUSED,,7,,,,,,,,,,
D31,,DIFFS,IO_L19N_7,UNUSED,,7,,,,,,,,,,
E1,daughtercard<9>,IOB,IO_L21P_2/VREF_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
E2,daughtercard<10>,IOB,IO_L23N_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
E3,daughtercard<19>,IOB,IO_L05P_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
E4,daughtercard<20>,IOB,IO_L03P_2/VREF_2,INPUT,LVTTL*,2,,,,NONE,,LOCATED,,NO,NONE,
E5,,,GND,,,,,,,,,,,,,
E6,user1<8>,IOB,IO_L04P_1/VREF_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
E7,,DIFFM,IO_L03P_1/VRN_1,UNUSED,,1,,,,,,,,,,
E8,,DIFFS,IO_L03N_1/VRP_1,UNUSED,,1,,,,,,,,,,
E9,user1<18>,IOB,IO_L24P_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
E10,user3<18>,IOB,IO_L24N_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
E11,user1<19>,IOB,IO_L54P_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
E12,user3<19>,IOB,IO_L54N_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
E13,user1<20>,IOB,IO_L75P_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
E14,user3<20>,IOB,IO_L75N_1/VREF_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
E15,user3<21>,IOB,IO_L78P_1,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
E16,user2<10>,IOB,IO_L95P_0/GCLK6S,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
E17,user4<10>,IOB,IO_L95N_0/GCLK7P,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
